record_id,date,warehouse_id,warehouse_name,region,city,warehouse_type,monthly_demand,monthly_supply,current_inventory,safety_stock,reorder_point,lead_time_days,lead_time_variability,order_volume,fulfillment_rate,stockout_incidents,overstock_quantity,warehouse_capacity,capacity_utilization,inventory_turnover,historical_demand_variance,seasonal_demand_index,supplier_reliability,transit_delay_days,sku_count,regional_consumption_momentum,inventory_imbalance_risk,year,month,quarter,is_festive_quarter,demand_to_supply_ratio,dsr_equilibrium_deviation,lead_time_variability_index,stockout_severity_frequency_score,warehouse_capacity_utilization,safety_stock_coverage_ratio,inventory_days_of_supply,demand_volatility_index,supply_gap_ratio,reorder_gap,excess_inventory_ratio,shortage_gap_units,transit_risk_index,cluster_name
REC-2023-11-WH-01,2023-11,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,124125.97625,124331.64749999999,108198.08,17574.69,91496.42374999999,24.7,2.15,4278.0,0.997,0,0.0,215875,0.492,15.04,51786890.8,1.451,0.92,0.3,1125,0.131,Overstock,2023,11,4,1,0.9983,-0.0017,0.087,0.0,0.5012,6.156,26.15,0.058,-0.0017,16701.66,0.0,0.0,0.372,Cluster 0 — Balanced Operational Flow
REC-2023-12-WH-01,2023-12,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,102105.87,108077.14,114169.35,13730.51,91496.42374999999,23.1,2.14,3908.0,0.989,0,1221.56,215875,0.519,10.73,142223147.8025,1.148,0.862,0.4,1125,0.082,Overstock,2023,12,4,1,0.9447,-0.0553,0.0926,0.0,0.5289,8.315,33.54,0.1168,-0.0585,22672.93,0.0057,0.0,0.566,Cluster 0 — Balanced Operational Flow
REC-2024-01-WH-01,2024-01,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,89700.38,84739.77,109208.74,11936.02,70241.27,19.5,2.26,2939.0,0.973,0,21063.44,215875,0.496,9.86,78770232.38,0.923,0.803,0.1,1125,0.07,Overstock,2024,1,1,0,1.0585,0.0585,0.1159,0.0,0.5059,9.15,36.52,0.0989,0.0553,38967.47,0.0976,0.0,0.159,Cluster 0 — Balanced Operational Flow
REC-2024-02-WH-01,2024-02,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,79222.9,82149.3,112135.14,12662.0,74719.94,23.5,2.83,3182.0,0.995,0,18422.2,215875,0.51,8.48,34626731.15,0.923,0.856,3.8,1125,-0.004,Overstock,2024,2,1,0,0.9644,-0.0356,0.1204,0.0,0.5194,8.856,42.46,0.0743,-0.0369,37415.2,0.0853,0.0,5.442,Cluster 0 — Balanced Operational Flow
REC-2024-03-WH-01,2024-03,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,102711.25,101711.01,111134.9,15602.66,91496.42374999999,24.0,2.53,3493.0,0.968,0,0.0,215875,0.505,11.09,142223147.8025,1.01,0.853,0.4,1125,0.104,Overstock,2024,3,1,0,1.0098,0.0098,0.1054,0.0,0.5148,7.123,32.46,0.1161,0.0097,19638.48,0.0,0.0,0.576,Cluster 0 — Balanced Operational Flow
REC-2024-04-WH-01,2024-04,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,120804.34,121451.1,111781.66,15597.31,91496.42374999999,21.0,2.16,3490.0,0.993,0,0.0,215875,0.508,12.97,114030924.22,1.145,0.91,1.4,1125,0.132,Overstock,2024,4,2,0,0.9947,-0.0053,0.1029,0.0,0.5178,7.167,27.76,0.0884,-0.0054,20285.24,0.0,0.0,1.778,Cluster 0 — Balanced Operational Flow
REC-2024-05-WH-01,2024-05,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,124125.97625,124331.64749999999,115749.34,16687.34,91496.42374999999,22.3,2.17,4324.875,0.976,0,0.0,215875,0.526,13.26,142223147.8025,1.14,0.903,0.2,1125,0.161,Overstock,2024,5,2,0,0.9983,-0.0017,0.0973,0.0,0.5362,6.936,27.98,0.0961,-0.0017,24252.92,0.0,0.0,0.258,Cluster 0 — Balanced Operational Flow
REC-2024-06-WH-01,2024-06,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,85121.3,86008.38,116636.42,11174.74,84095.32,25.7,2.05,2316.0,0.983,0,15778.99,215875,0.53,8.76,142223147.8025,0.93,0.869,1.7,1125,0.134,Overstock,2024,6,2,0,0.9897,-0.0103,0.0798,0.0,0.5403,10.438,41.11,0.1401,-0.0104,32541.1,0.0731,0.0,2.368,Cluster 0 — Balanced Operational Flow
REC-2024-07-WH-01,2024-07,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,113444.18,110422.01,113614.25,15471.33,91496.42374999999,23.4,2.41,3708.0,0.969,0,0.0,215875,0.516,11.98,142223147.8025,0.917,0.907,0.1,1125,0.159,Overstock,2024,7,3,0,1.0274,0.0274,0.103,0.0,0.5263,7.344,30.04,0.1051,0.0266,22117.83,0.0,0.0,0.128,Cluster 0 — Balanced Operational Flow
REC-2024-08-WH-01,2024-08,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,92834.2,94798.78,115578.83,15498.02,75840.25,19.5,2.91,2846.0,0.951,0,16491.55,215875,0.525,9.64,142223147.8025,0.952,0.862,0.5,1125,0.108,Overstock,2024,8,3,0,0.9793,-0.0207,0.1492,0.0,0.5354,7.458,37.35,0.1285,-0.0212,39738.58,0.0764,0.0,0.707,Cluster 0 — Balanced Operational Flow
REC-2024-09-WH-01,2024-09,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,124125.97625,124331.64749999999,113484.73,16291.17,91496.42374999999,21.5,2.09,4324.875,0.977,0,0.0,215875,0.516,13.95,142223147.8025,1.077,0.92,1.2,1125,0.128,Overstock,2024,9,3,0,0.9983,-0.0017,0.0972,0.0,0.5257,6.966,27.43,0.0961,-0.0017,21988.31,0.0,0.0,1.488,Cluster 0 — Balanced Operational Flow
REC-2024-10-WH-01,2024-10,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,124125.97625,124331.64749999999,105730.89,19243.92,91496.42374999999,23.6,2.05,4324.875,0.981,0,0.0,215875,0.481,17.11,142223147.8025,1.3,0.819,0.1,1125,0.167,Overstock,2024,10,4,1,0.9983,-0.0017,0.0869,0.0,0.4898,5.494,25.55,0.0961,-0.0017,14234.47,0.0,0.0,0.154,Cluster 0 — Balanced Operational Flow
REC-2024-11-WH-01,2024-11,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,115496.21,117164.81,107399.49,19065.98,91496.42374999999,24.9,2.88,3611.0,0.963,0,0.0,215875,0.488,12.9,142223147.8025,1.36,0.814,2.0,1125,0.073,Overstock,2024,11,4,1,0.9858,-0.0142,0.1157,0.0,0.4975,5.633,27.9,0.1033,-0.0144,15903.07,0.0,0.0,3.116,Cluster 0 — Balanced Operational Flow
REC-2024-12-WH-01,2024-12,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,116303.67,122536.25,113632.07,17415.21,91496.42374999999,23.2,2.64,3824.0,0.997,0,0.0,215875,0.517,12.28,142223147.8025,1.159,0.796,0.3,1125,0.102,Overstock,2024,12,4,1,0.9491,-0.0509,0.1138,0.0,0.5264,6.525,29.31,0.1025,-0.0536,22135.65,0.0,0.0,0.484,Cluster 0 — Balanced Operational Flow
REC-2023-01-WH-02,2023-01,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,45429.65,24654.69,12737.12,19058.66,43742.1,16.3,7.59,1948.0,0.985,0,0.0,95000,0.134,25.0,55533031.99,0.948,0.763,5.65,540,0.129,Understock / Shortage,2023,1,1,0,1.8426,0.8426,0.4656,0.0,0.1341,0.668,8.41,0.164,0.4573,-31004.98,0.0,6321.54,9.667,Cluster 1 — High-Velocity Shortage Risk
REC-2023-02-WH-02,2023-02,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,44791.75,28842.49,692.16,23262.78,46703.8,15.7,9.43,1260.0,0.928,5,0.0,95000,0.007,25.0,91171498.94,0.873,0.844,0.9,540,0.033,Understock / Shortage,2023,2,1,0,1.553,0.553,0.6006,6.8,0.0073,0.03,0.46,0.2132,0.3561,-46011.64,0.0,22570.62,1.321,Cluster 1 — High-Velocity Shortage Risk
REC-2023-03-WH-02,2023-03,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,41359.71,25728.15,1056.69,22056.38,41771.18,14.3,9.67,1227.0,0.639,6,0.0,95000,0.011,25.0,5851457.02,0.996,0.863,5.65,540,0.076,Understock / Shortage,2023,3,1,0,1.6076,0.6076,0.6762,16.83,0.0111,0.048,0.77,0.0585,0.3779,-40714.49,0.0,20999.69,7.972,Cluster 1 — High-Velocity Shortage Risk
REC-2023-04-WH-02,2023-04,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,46446.24,34876.72,1104.09,26146.2,50298.24,15.6,10.21,1530.0,0.774,5,0.0,95000,0.012,25.0,67607152.22,1.07,0.828,5.65,540,0.121,Understock / Shortage,2023,4,2,0,1.3317,0.3317,0.6545,10.65,0.0116,0.042,0.71,0.177,0.2491,-49194.15,0.0,25042.11,8.565,Cluster 1 — High-Velocity Shortage Risk
REC-2023-05-WH-02,2023-05,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,51050.52,39133.11,516.21,24728.5,51104.6,15.5,8.78,1421.0,0.788,5,0.0,95000,0.005,25.0,45208038.32,1.088,0.842,3.8,540,0.016,Understock / Shortage,2023,5,2,0,1.3045,0.3045,0.5665,10.3,0.0054,0.021,0.3,0.1317,0.2334,-50588.39,0.0,24212.29,5.601,Cluster 1 — High-Velocity Shortage Risk
REC-2023-06-WH-02,2023-06,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,44225.81,27715.61,282.17,19045.86,44107.15,17.0,7.8,1407.0,0.638,9,0.0,95000,0.003,25.0,23955351.17,0.925,0.815,0.4,540,0.058,Understock / Shortage,2023,6,2,0,1.5957,0.5957,0.4588,25.29,0.003,0.015,0.19,0.1107,0.3733,-43824.98,0.0,18763.69,0.622,Cluster 1 — High-Velocity Shortage Risk
REC-2023-07-WH-02,2023-07,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,40151.69,24588.93,353.98,18432.29,38641.97,15.1,8.33,1607.0,0.619,4,0.0,95000,0.004,25.0,30889529.9,0.927,0.861,5.65,540,0.126,Understock / Shortage,2023,7,3,0,1.6329,0.6329,0.5517,11.62,0.0037,0.019,0.26,0.1384,0.3876,-38287.99,0.0,18078.31,8.006,Cluster 1 — High-Velocity Shortage Risk
REC-2023-08-WH-02,2023-08,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,39395.61,26297.05,125.93,19446.23,42952.28,17.9,8.92,1735.0,0.676,4,0.0,95000,0.001,25.0,12364404.11,0.974,0.874,0.3,540,0.045,Understock / Shortage,2023,8,3,0,1.4981,0.4981,0.4983,10.48,0.0013,0.006,0.1,0.0893,0.3325,-42826.35,0.0,19320.3,0.413,Cluster 1 — High-Velocity Shortage Risk
REC-2023-09-WH-02,2023-09,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,55293.0,35372.38,211.72,26912.24,56586.15,16.1,8.8,1659.0,0.642,11,0.0,95000,0.002,25.0,41648506.31,1.107,0.843,5.65,540,0.082,Understock / Shortage,2023,9,3,0,1.5632,0.5632,0.5466,30.69,0.0022,0.008,0.11,0.1167,0.3603,-56374.43,0.0,26700.52,8.311,Cluster 1 — High-Velocity Shortage Risk
REC-2023-10-WH-02,2023-10,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,59523.74,39328.58,7.94,24870.3,57608.36,16.5,7.54,2550.0,0.664,11,0.0,95000,0.0,25.0,46040168.18,1.354,0.804,5.1,540,0.072,Balanced,2023,10,4,1,1.5135,0.5135,0.457,29.48,0.0001,0.0,0.0,0.114,0.3393,-57600.42,0.0,24862.36,8.099,Cluster 1 — High-Velocity Shortage Risk
REC-2023-11-WH-02,2023-11,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,63925.88,44523.8,98.19,32902.6525,64162.95,14.2,9.61,2812.0,0.697,11,0.0,95000,0.001,25.0,71518584.85,1.369,0.856,0.7,540,0.135,Understock / Shortage,2023,11,4,1,1.4358,0.4358,0.6768,27.665,0.001,0.003,0.05,0.1323,0.3035,-64064.76,0.0,32804.46,1.002,Cluster 1 — High-Velocity Shortage Risk
REC-2023-12-WH-02,2023-12,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,41712.53,29385.18,699.31,21368.81,43059.33,15.6,9.3,1162.0,0.707,6,0.0,95000,0.007,25.0,34933695.5,1.192,0.816,0.9,540,0.008,Understock / Shortage,2023,12,4,1,1.4195,0.4195,0.5962,14.79,0.0074,0.033,0.5,0.1417,0.2955,-42360.02,0.0,20669.5,1.397,Cluster 1 — High-Velocity Shortage Risk
REC-2024-01-WH-02,2024-01,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,43064.44,24496.82,161.76,21054.49,43878.64,15.9,8.87,1213.0,0.585,6,0.0,95000,0.002,25.0,9113353.15,0.917,0.788,2.3,540,0.152,Understock / Shortage,2024,1,1,0,1.758,0.758,0.5579,18.45,0.0017,0.008,0.11,0.0701,0.4312,-43716.88,0.0,20892.73,3.763,Cluster 1 — High-Velocity Shortage Risk
REC-2024-02-WH-02,2024-02,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,40298.35,25387.8,765.41,19193.86,37328.12,13.5,8.63,1068.0,0.634,6,0.0,95000,0.008,25.0,40358615.61,0.943,0.824,0.2,540,0.139,Understock / Shortage,2024,2,1,0,1.5873,0.5873,0.6393,16.98,0.0081,0.04,0.57,0.1576,0.37,-36562.71,0.0,18428.45,0.306,Cluster 1 — High-Velocity Shortage Risk
REC-2024-03-WH-02,2024-03,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,44773.99,29310.16,704.3,18156.53,41439.0,15.6,7.35,1645.0,0.672,5,0.0,95000,0.007,25.0,3864689.8,1.028,0.836,2.5,540,0.143,Understock / Shortage,2024,3,1,0,1.5276,0.5276,0.4712,13.2,0.0074,0.039,0.47,0.0439,0.3454,-40734.7,0.0,17452.23,3.73,Cluster 1 — High-Velocity Shortage Risk
REC-2024-04-WH-02,2024-04,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,55235.7,41258.14,36.46,23085.62,49598.76,14.4,7.56,1733.0,0.76,9,0.0,95000,0.0,25.0,105324991.89,1.098,0.859,0.3,540,0.21,Understock / Shortage,2024,4,2,0,1.3388,0.3388,0.525,19.8,0.0004,0.002,0.02,0.1858,0.2531,-49562.3,0.0,23049.16,0.427,Cluster 1 — High-Velocity Shortage Risk
REC-2024-05-WH-02,2024-05,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,57037.27,44140.45,540.2,22542.34,54673.34,16.9,7.14,2236.0,0.775,6,0.0,95000,0.006,25.0,79734190.22,1.215,0.904,0.5,540,0.179,Understock / Shortage,2024,5,2,0,1.2922,0.2922,0.4225,12.75,0.0057,0.024,0.28,0.1566,0.2261,-54133.14,0.0,22002.14,0.644,Cluster 1 — High-Velocity Shortage Risk
REC-2024-06-WH-02,2024-06,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,46807.89,35929.07,668.6,18389.22,41013.03,14.5,7.11,1317.0,0.779,7,0.0,95000,0.007,25.0,39631592.03,1.013,0.845,0.8,540,0.064,Understock / Shortage,2024,6,2,0,1.3028,0.3028,0.4903,14.735,0.007,0.036,0.43,0.1345,0.2324,-40344.43,0.0,17720.62,1.172,Cluster 1 — High-Velocity Shortage Risk
REC-2024-07-WH-02,2024-07,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,46806.22,33092.09,292.84,24839.21,51362.73,17.0,9.62,1399.0,0.721,5,0.0,95000,0.003,25.0,28280658.33,0.918,0.785,4.1,540,0.101,Understock / Shortage,2024,7,3,0,1.4144,0.4144,0.5659,11.975,0.0031,0.012,0.19,0.1136,0.293,-51069.89,0.0,24546.37,6.744,Cluster 1 — High-Velocity Shortage Risk
REC-2024-08-WH-02,2024-08,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,41191.75,25382.86,897.21,23199.45,43246.1,14.6,10.21,1453.0,0.623,11,0.0,95000,0.009,25.0,29310597.34,0.992,0.792,1.2,540,0.177,Understock / Shortage,2024,8,3,0,1.6228,0.6228,0.6993,31.735,0.0094,0.039,0.65,0.1314,0.3838,-42348.89,0.0,22302.24,1.949,Cluster 1 — High-Velocity Shortage Risk
REC-2024-09-WH-02,2024-09,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,50106.25,37050.68,847.45,21679.64,47066.81,15.2,7.84,1436.0,0.757,11,0.0,95000,0.009,25.0,34673095.7,1.075,0.893,1.4,540,0.063,Understock / Shortage,2024,9,3,0,1.3524,0.3524,0.5158,24.365,0.0089,0.039,0.51,0.1175,0.2606,-46219.36,0.0,20832.19,1.849,Cluster 1 — High-Velocity Shortage Risk
REC-2024-10-WH-02,2024-10,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,57104.46,45684.69,1318.06,27313.92,55675.8,14.9,8.68,2563.0,0.815,5,0.0,95000,0.014,25.0,72240939.69,1.339,0.854,0.1,540,0.113,Understock / Shortage,2024,10,4,1,1.25,0.25,0.5826,9.625,0.0139,0.048,0.69,0.1488,0.2,-54357.74,0.0,25995.86,0.144,Cluster 1 — High-Velocity Shortage Risk
REC-2024-11-WH-02,2024-11,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,68220.76,51050.25,1223.29,28296.98,60360.74,14.1,7.52,3034.0,0.768,4,0.0,95000,0.013,25.0,50723006.43,1.358,0.832,0.8,540,0.145,Understock / Shortage,2024,11,4,1,1.3363,0.3363,0.5333,8.64,0.0129,0.043,0.54,0.1044,0.2517,-59137.45,0.0,27073.69,1.203,Cluster 1 — High-Velocity Shortage Risk
REC-2024-12-WH-02,2024-12,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,54276.92,40471.24,1299.28,29578.99,56717.45,15.0,9.88,1585.0,0.768,8,0.0,95000,0.014,25.0,44833625.93,1.209,0.85,5.65,540,0.135,Understock / Shortage,2024,12,4,1,1.3411,0.3411,0.6587,17.28,0.0137,0.044,0.72,0.1234,0.2544,-55418.17,0.0,28279.71,8.192,Cluster 1 — High-Velocity Shortage Risk
REC-2023-01-WH-03,2023-01,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,12640.61,12816.69,20835.97,2043.66,5288.08,7.7,2.92,392.0,0.958,0,12482.4,45000,0.463,7.28,1956111.29,0.98,0.803,1.1,145,0.159,Overstock,2023,1,1,0,0.9863,-0.0137,0.3792,0.0,0.463,10.195,49.45,0.1106,-0.0139,15547.89,0.2774,0.0,1.75,Cluster 0 — Balanced Operational Flow
REC-2023-02-WH-03,2023-02,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,12709.69,12569.09,20695.37,2215.23,5773.94,8.4,3.1,549.0,0.993,0,11598.58,45000,0.46,7.37,1597967.63,0.865,0.902,0.9,145,-0.041,Overstock,2023,2,1,0,1.0112,0.0112,0.369,0.0,0.4599,9.342,48.85,0.0995,0.0111,14921.43,0.2577,0.0,1.165,Cluster 0 — Balanced Operational Flow
REC-2023-03-WH-03,2023-03,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,16839.63,18124.09,21979.83,2717.38,6478.23,6.7,2.9,555.0,0.99,0,11425.53,45000,0.488,9.19,2786252.5,1.034,0.899,1.0,145,0.197,Overstock,2023,3,1,0,0.9291,-0.0709,0.4328,0.0,0.4884,8.089,39.16,0.0991,-0.0763,15501.6,0.2539,0.0,1.303,Cluster 0 — Balanced Operational Flow
REC-2023-04-WH-03,2023-04,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,14215.03,13475.33,21240.13,2358.46,5533.15,6.7,2.97,390.0,0.967,0,12169.29,45000,0.472,8.03,3588601.87,1.115,0.979,1.9,145,0.104,Overstock,2023,4,2,0,1.0549,0.0549,0.4433,0.0,0.472,9.006,44.83,0.1333,0.052,15706.98,0.2704,0.0,2.02,Cluster 0 — Balanced Operational Flow
REC-2023-05-WH-03,2023-05,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,17942.83,17019.7,20317.0,2493.34,5543.62,5.1,2.49,699.0,0.965,0,11033.37,45000,0.451,10.6,6872143.97,1.168,0.886,0.3,145,0.114,Overstock,2023,5,2,0,1.0542,0.0542,0.4882,0.0,0.4515,8.149,33.97,0.1461,0.0514,14773.38,0.2452,0.0,0.403,Cluster 0 — Balanced Operational Flow
REC-2023-06-WH-03,2023-06,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,12315.97,12853.19,20854.22,2067.45,5228.55,7.7,2.98,381.0,0.963,0,12524.5,45000,0.463,7.09,7756874.08,0.954,0.868,0.5,145,-0.013,Overstock,2023,6,2,0,0.9582,-0.0418,0.387,0.0,0.4634,10.087,50.8,0.2261,-0.0436,15625.67,0.2783,0.0,0.698,Cluster 0 — Balanced Operational Flow
REC-2023-07-WH-03,2023-07,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,12693.85,11784.64,19945.01,2091.68,5222.83,7.4,2.97,456.0,0.968,0,11584.66,45000,0.443,7.64,4769267.84,0.904,0.879,1.4,145,0.09,Overstock,2023,7,3,0,1.0772,0.0772,0.4014,0.0,0.4432,9.535,47.14,0.172,0.0716,14722.18,0.2574,0.0,1.908,Cluster 0 — Balanced Operational Flow
REC-2023-08-WH-03,2023-08,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,12896.32,13385.72,20434.41,1745.59,3293.15,3.6,2.45,498.0,0.987,0,14522.88,45000,0.454,7.57,1581869.35,0.981,0.869,3.6,145,0.002,Overstock,2023,8,3,0,0.9634,-0.0366,0.6806,0.0,0.4541,11.706,47.54,0.0975,-0.0379,17141.26,0.3227,0.0,5.015,Cluster 0 — Balanced Operational Flow
