record_id,date,warehouse_id,warehouse_name,region,city,warehouse_type,monthly_demand,monthly_supply,current_inventory,safety_stock,reorder_point,lead_time_days,lead_time_variability,order_volume,fulfillment_rate,stockout_incidents,overstock_quantity,warehouse_capacity,capacity_utilization,inventory_turnover,historical_demand_variance,seasonal_demand_index,supplier_reliability,transit_delay_days,sku_count,regional_consumption_momentum,inventory_imbalance_risk
REC-2023-11-WH-01,2023-11,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,135587.81,132465.97,108198.08,17574.69,129208.65,24.7,2.15,4278,0.997,0,0.0,220000,0.492,15.04,51786890.8,1.451,0.92,0.3,1125,0.131,Overstock
REC-2023-12-WH-01,2023-12,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,102105.87,108077.14,114169.35,13730.51,92352.03,23.1,2.14,3908,0.989,0,1221.56,220000,0.519,10.73,186444855.57,1.148,0.862,0.4,1125,0.082,Overstock
REC-2024-01-WH-01,2024-01,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,89700.38,84739.77,109208.74,11936.02,70241.27,19.5,2.26,2939,0.973,0,21063.44,220000,0.496,9.86,78770232.38,0.923,0.803,0.1,1125,0.07,Overstock
REC-2024-02-WH-01,2024-02,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,79222.9,82149.3,112135.14,12662.0,74719.94,23.5,2.83,3182,0.995,0,18422.2,220000,0.51,8.48,34626731.15,0.923,0.856,3.8,1125,-0.004,Overstock
REC-2024-03-WH-01,2024-03,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,102711.25,101711.01,111134.9,15602.66,97771.66,24.0,2.53,3493,0.968,0,0.0,220000,0.505,11.09,205722453.98,1.01,0.853,0.4,1125,0.104,Overstock
REC-2024-04-WH-01,2024-04,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,120804.34,121451.1,111781.66,15597.31,100160.35,21.0,2.16,3490,0.993,0,0.0,220000,0.508,12.97,114030924.22,1.145,0.91,1.4,1125,0.132,Overstock
REC-2024-05-WH-01,2024-05,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,127858.83,131826.51,115749.34,16687.34,111729.07,22.3,2.17,4912,0.976,0,0.0,220000,0.526,13.26,233764035.91,1.14,0.903,0.2,1125,0.161,Overstock
REC-2024-06-WH-01,2024-06,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,85121.3,86008.38,116636.42,11174.74,84095.32,25.7,2.05,2316,0.983,0,15778.99,220000,0.53,8.76,172400685.94,0.93,0.869,1.7,1125,0.134,Overstock
REC-2024-07-WH-01,2024-07,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,113444.18,110422.01,113614.25,15471.33,103957.79,23.4,2.41,3708,0.969,0,0.0,220000,0.516,11.98,244876418.72,0.917,0.907,0.1,1125,0.159,Overstock
REC-2024-08-WH-01,2024-08,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,92834.2,94798.78,115578.83,15498.02,75840.25,19.5,2.91,2846,0.951,0,16491.55,220000,0.525,9.64,247687048.65,0.952,0.862,0.5,1125,0.108,Overstock
REC-2024-09-WH-01,2024-09,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,131887.67,129793.57,113484.73,16291.17,110810.67,21.5,2.09,5387,0.977,0,0.0,220000,0.516,13.95,514230792.27,1.077,0.92,1.2,1125,0.128,Overstock
REC-2024-10-WH-01,2024-10,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,150756.51,143002.67,105730.89,19243.92,137839.04,23.6,2.05,5841,0.981,0,0.0,220000,0.481,17.11,177006439.63,1.3,0.819,0.1,1125,0.167,Overstock
REC-2024-11-WH-01,2024-11,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,115496.21,117164.81,107399.49,19065.98,114927.83,24.9,2.88,3611,0.963,0,0.0,220000,0.488,12.9,484130327.87,1.36,0.814,2.0,1125,0.073,Overstock
REC-2024-12-WH-01,2024-12,WH-01,Hub North-Central — Delhi/NCR,North,Delhi/NCR,Mega Hub,116303.67,122536.25,113632.07,17415.21,107356.71,23.2,2.64,3824,0.997,0,0.0,220000,0.517,12.28,154061171.53,1.159,0.796,0.3,1125,0.102,Overstock
REC-2023-01-WH-02,2023-01,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,45429.65,24654.69,12737.12,19058.66,43742.1,16.3,7.59,1948,0.985,0,0.0,95000,0.134,25.0,55533031.99,0.948,0.763,7.5,540,0.129,Understock / Shortage
REC-2023-02-WH-02,2023-02,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,44791.75,28842.49,692.16,23262.78,46703.8,15.7,9.43,1260,0.928,5,0.0,95000,0.007,25.0,91171498.94,0.873,0.844,0.9,540,0.033,Understock / Shortage
REC-2023-03-WH-02,2023-03,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,41359.71,25728.15,1056.69,22056.38,41771.18,14.3,9.67,1227,0.639,6,0.0,95000,0.011,25.0,5851457.02,0.996,0.863,12.7,540,0.076,Understock / Shortage
REC-2023-04-WH-02,2023-04,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,46446.24,34876.72,1104.09,26146.2,50298.24,15.6,10.21,1530,0.774,5,0.0,95000,0.012,25.0,67607152.22,1.07,0.828,11.8,540,0.121,Understock / Shortage
REC-2023-05-WH-02,2023-05,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,51050.52,39133.11,516.21,24728.5,51104.6,15.5,8.78,1421,0.788,5,0.0,95000,0.005,25.0,45208038.32,1.088,0.842,3.8,540,0.016,Understock / Shortage
REC-2023-06-WH-02,2023-06,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,44225.81,27715.61,282.17,19045.86,44107.15,17.0,7.8,1407,0.638,9,0.0,95000,0.003,25.0,23955351.17,0.925,0.815,0.4,540,0.058,Understock / Shortage
REC-2023-07-WH-02,2023-07,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,40151.69,24588.93,353.98,18432.29,38641.97,15.1,8.33,1607,0.619,4,0.0,95000,0.004,25.0,30889529.9,0.927,0.861,6.1,540,0.126,Understock / Shortage
REC-2023-08-WH-02,2023-08,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,39395.61,26297.05,125.93,19446.23,42952.28,17.9,8.92,1735,0.676,4,0.0,95000,0.001,25.0,12364404.11,0.974,0.874,0.3,540,0.045,Understock / Shortage
REC-2023-09-WH-02,2023-09,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,55293.0,35372.38,211.72,26912.24,56586.15,16.1,8.8,1659,0.642,11,0.0,95000,0.002,25.0,41648506.31,1.107,0.843,7.0,540,0.082,Understock / Shortage
REC-2023-10-WH-02,2023-10,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,59523.74,39328.58,7.94,24870.3,57608.36,16.5,7.54,2550,0.664,11,0.0,95000,0.0,25.0,46040168.18,1.354,0.804,5.1,540,0.072,Balanced
REC-2023-11-WH-02,2023-11,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,63925.88,44523.8,98.19,33904.7,64162.95,14.2,9.61,2812,0.697,11,0.0,95000,0.001,25.0,71518584.85,1.369,0.856,0.7,540,0.135,Understock / Shortage
REC-2023-12-WH-02,2023-12,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,41712.53,29385.18,699.31,21368.81,43059.33,15.6,9.3,1162,0.707,6,0.0,95000,0.007,25.0,34933695.5,1.192,0.816,0.9,540,0.008,Understock / Shortage
REC-2024-01-WH-02,2024-01,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,43064.44,24496.82,161.76,21054.49,43878.64,15.9,8.87,1213,0.585,6,0.0,95000,0.002,25.0,9113353.15,0.917,0.788,2.3,540,0.152,Understock / Shortage
REC-2024-02-WH-02,2024-02,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,40298.35,25387.8,765.41,19193.86,37328.12,13.5,8.63,1068,0.634,6,0.0,95000,0.008,25.0,40358615.61,0.943,0.824,0.2,540,0.139,Understock / Shortage
REC-2024-03-WH-02,2024-03,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,44773.99,29310.16,704.3,18156.53,41439.0,15.6,7.35,1645,0.672,5,0.0,95000,0.007,25.0,3864689.8,1.028,0.836,2.5,540,0.143,Understock / Shortage
REC-2024-04-WH-02,2024-04,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,55235.7,41258.14,36.46,23085.62,49598.76,14.4,7.56,1733,0.76,9,0.0,95000,0.0,25.0,105324991.89,1.098,0.859,0.3,540,0.21,Understock / Shortage
REC-2024-05-WH-02,2024-05,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,57037.27,44140.45,540.2,22542.34,54673.34,16.9,7.14,2236,0.775,6,0.0,95000,0.006,25.0,79734190.22,1.215,0.904,0.5,540,0.179,Understock / Shortage
REC-2024-06-WH-02,2024-06,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,46807.89,35929.07,668.6,18389.22,41013.03,14.5,7.11,1317,0.779,7,0.0,95000,0.007,25.0,39631592.03,1.013,0.845,0.8,540,0.064,Understock / Shortage
REC-2024-07-WH-02,2024-07,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,46806.22,33092.09,292.84,24839.21,51362.73,17.0,9.62,1399,0.721,5,0.0,95000,0.003,25.0,28280658.33,0.918,0.785,4.1,540,0.101,Understock / Shortage
REC-2024-08-WH-02,2024-08,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,41191.75,25382.86,897.21,23199.45,43246.1,14.6,10.21,1453,0.623,11,0.0,95000,0.009,25.0,29310597.34,0.992,0.792,1.2,540,0.177,Understock / Shortage
REC-2024-09-WH-02,2024-09,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,50106.25,37050.68,847.45,21679.64,47066.81,15.2,7.84,1436,0.757,11,0.0,95000,0.009,25.0,34673095.7,1.075,0.893,1.4,540,0.063,Understock / Shortage
REC-2024-10-WH-02,2024-10,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,57104.46,45684.69,1318.06,27313.92,55675.8,14.9,8.68,2563,0.815,5,0.0,95000,0.014,25.0,72240939.69,1.339,0.854,0.1,540,0.113,Understock / Shortage
REC-2024-11-WH-02,2024-11,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,68220.76,51050.25,1223.29,28296.98,60360.74,14.1,7.52,3034,0.768,4,0.0,95000,0.013,25.0,50723006.43,1.358,0.832,0.8,540,0.145,Understock / Shortage
REC-2024-12-WH-02,2024-12,WH-02,Depot North-A — Noida Hub,North,Noida,Regional DC,54276.92,40471.24,1299.28,29578.99,56717.45,15.0,9.88,1585,0.768,8,0.0,95000,0.014,25.0,44833625.93,1.209,0.85,6.0,540,0.135,Understock / Shortage
REC-2023-01-WH-03,2023-01,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,12640.61,12816.69,20835.97,2043.66,5288.08,7.7,2.92,392,0.958,0,12482.4,45000,0.463,7.28,1956111.29,0.98,0.803,1.1,145,0.159,Overstock
REC-2023-02-WH-03,2023-02,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,12709.69,12569.09,20695.37,2215.23,5773.94,8.4,3.1,549,0.993,0,11598.58,45000,0.46,7.37,1597967.63,0.865,0.902,0.9,145,-0.041,Overstock
REC-2023-03-WH-03,2023-03,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,16839.63,18124.09,21979.83,2717.38,6478.23,6.7,2.9,555,0.99,0,11425.53,45000,0.488,9.19,2786252.5,1.034,0.899,1.0,145,0.197,Overstock
REC-2023-04-WH-03,2023-04,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,14215.03,13475.33,21240.13,2358.46,5533.15,6.7,2.97,390,0.967,0,12169.29,45000,0.472,8.03,3588601.87,1.115,0.979,1.9,145,0.104,Overstock
REC-2023-05-WH-03,2023-05,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,17942.83,17019.7,20317.0,2493.34,5543.62,5.1,2.49,699,0.965,0,11033.37,45000,0.451,10.6,6872143.97,1.168,0.886,0.3,145,0.114,Overstock
REC-2023-06-WH-03,2023-06,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,12315.97,12853.19,20854.22,2067.45,5228.55,7.7,2.98,381,0.963,0,12524.5,45000,0.463,7.09,7756874.08,0.954,0.868,0.5,145,-0.013,Overstock
REC-2023-07-WH-03,2023-07,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,12693.85,11784.64,19945.01,2091.68,5222.83,7.4,2.97,456,0.968,0,11584.66,45000,0.443,7.64,4769267.84,0.904,0.879,1.4,145,0.09,Overstock
REC-2023-08-WH-03,2023-08,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,12896.32,13385.72,20434.41,1745.59,3293.15,3.6,2.45,498,0.987,0,14522.88,45000,0.454,7.57,1581869.35,0.981,0.869,3.6,145,0.002,Overstock
REC-2023-09-WH-03,2023-09,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,15250.43,16329.88,21513.86,2282.09,4620.49,4.6,2.7,620,0.992,0,13470.24,45000,0.478,8.51,11790903.16,1.071,0.941,0.3,145,0.06,Overstock
REC-2023-10-WH-03,2023-10,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,23705.3,23032.18,20840.74,3334.71,10130.23,8.6,2.47,969,0.951,0,5708.45,45000,0.463,13.65,22417066.45,1.341,0.899,0.2,145,0.154,Overstock
REC-2023-11-WH-03,2023-11,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,22918.79,23933.54,21855.49,3121.37,8927.46,7.6,2.45,727,0.956,0,8245.98,45000,0.486,12.58,12187183.99,1.389,0.826,0.6,145,0.074,Overstock
REC-2023-12-WH-03,2023-12,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,15429.66,14379.53,20805.36,2263.66,5966.78,7.2,2.64,588,0.988,0,11443.09,45000,0.462,8.9,5535428.69,1.1,0.944,0.6,145,0.076,Overstock
REC-2024-01-WH-03,2024-01,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,15760.94,15714.63,20759.05,2791.65,6626.81,7.3,3.18,559,0.958,0,9944.76,45000,0.461,9.11,5451715.26,0.955,0.838,0.7,145,0.069,Overstock
REC-2024-02-WH-03,2024-02,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,14777.92,14224.28,20205.41,1966.49,4429.48,5.0,2.39,493,0.981,0,12826.2,45000,0.449,8.78,3604905.1,0.917,0.909,0.0,145,0.167,Overstock
REC-2024-03-WH-03,2024-03,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,17609.44,18401.64,20997.61,3122.52,6996.6,6.6,3.2,588,0.99,0,9317.23,45000,0.467,10.06,7033146.46,1.035,0.902,0.1,145,0.114,Overstock
REC-2024-04-WH-03,2024-04,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,18821.23,18847.07,21023.45,3320.78,7963.35,7.4,3.19,640,0.969,0,8078.93,45000,0.467,10.74,7461350.22,1.116,0.938,0.1,145,0.118,Overstock
REC-2024-05-WH-03,2024-05,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,18526.27,18461.81,20958.99,3509.34,8017.4,7.3,3.38,682,0.993,0,7677.58,45000,0.466,10.61,1716537.87,1.178,0.88,1.5,145,0.122,Overstock
REC-2024-06-WH-03,2024-06,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,15980.78,15402.38,20380.59,2584.77,5834.2,6.1,2.92,487,0.995,0,10669.24,45000,0.453,9.41,3212815.21,1.025,0.858,0.6,145,0.131,Overstock
REC-2024-07-WH-03,2024-07,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,17953.35,16780.98,19208.22,2622.29,5913.74,5.5,2.61,602,0.996,0,9361.05,45000,0.427,11.22,4798825.45,0.931,0.867,0.8,145,0.2,Overstock
REC-2024-08-WH-03,2024-08,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,17793.69,18879.68,20294.21,2906.3,5871.92,5.0,2.93,709,0.963,0,10062.84,45000,0.451,10.52,3332961.72,1.003,0.88,2.0,145,0.17,Overstock
REC-2024-09-WH-03,2024-09,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,18694.58,19717.46,21317.09,3380.17,7430.66,6.5,3.24,622,0.973,0,8816.17,45000,0.474,10.52,5269849.03,1.101,0.92,2.3,145,0.009,Overstock
REC-2024-10-WH-03,2024-10,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,20122.14,19238.18,20433.13,3213.28,8310.89,7.6,2.88,881,0.984,0,7302.32,45000,0.454,11.82,14128941.65,1.329,0.879,1.5,145,0.099,Overstock
REC-2024-11-WH-03,2024-11,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,25116.08,23358.12,18675.17,3828.07,10525.69,8.0,2.73,733,0.988,0,2407.37,45000,0.415,16.14,13053847.11,1.412,0.854,0.1,145,0.162,Overstock
REC-2024-12-WH-03,2024-12,WH-03,Depot North-B — Gurgaon Metro,North,Gurugram,Urban Depot,17927.54,18738.1,19485.73,2988.3,7350.67,7.3,2.96,503,0.953,0,7652.61,45000,0.433,11.04,8821144.64,1.16,0.956,1.4,145,0.135,Overstock
REC-2023-01-WH-04,2023-01,WH-04,Facility North-1 — Chandigarh Gateway,North,Chandigarh,Regional DC,28196.31,26141.79,41602.39,3991.79,14518.41,11.2,2.52,1068,0.952,0,21096.3,85000,0.489,8.13,6839867.69,0.943,0.908,2.6,416,0.087,Overstock
REC-2023-02-WH-04,2023-02,WH-04,Facility North-1 — Chandigarh Gateway,North,Chandigarh,Regional DC,27451.57,28645.64,42796.46,4146.38,14944.0,11.8,2.69,1064,0.954,0,21632.89,85000,0.503,7.7,7842729.33,0.893,0.901,0.5,416,0.089,Overstock
REC-2023-03-WH-04,2023-03,WH-04,Facility North-1 — Chandigarh Gateway,North,Chandigarh,Regional DC,28012.42,28836.0,43620.04,4774.84,14485.81,10.4,3.07,743,0.976,0,21971.97,85000,0.513,7.71,28161521.16,0.995,0.896,4.2,416,0.111,Overstock
REC-2023-04-WH-04,2023-04,WH-04,Facility North-1 — Chandigarh Gateway,North,Chandigarh,Regional DC,39269.86,39019.55,43369.73,5346.3,21185.14,12.1,2.34,1474,0.986,0,14165.14,85000,0.51,10.87,11202298.4,1.148,0.885,0.1,416,0.068,Overstock
REC-2023-05-WH-04,2023-05,WH-04,Facility North-1 — Chandigarh Gateway,North,Chandigarh,Regional DC,38958.94,41743.03,46153.82,4731.23,21093.98,12.6,2.14,1145,0.977,0,17963.0,85000,0.543,10.13,43594113.13,1.154,0.882,0.1,416,0.133,Overstock
REC-2023-06-WH-04,2023-06,WH-04,Facility North-1 — Chandigarh Gateway,North,Chandigarh,Regional DC,24794.95,23184.41,44543.28,3563.37,12406.9,10.7,2.57,727,0.967,0,26791.32,85000,0.524,6.68,9678012.12,0.955,0.912,0.2,416,0.04,Overstock
REC-2023-07-WH-04,2023-07,WH-04,Facility North-1 — Chandigarh Gateway,North,Chandigarh,Regional DC,24533.64,23998.58,44008.22,4120.38,14915.18,13.2,3.02,698,0.985,0,22912.47,85000,0.518,6.69,6503589.27,0.883,0.99,0.2,416,0.091,Overstock
REC-2023-08-WH-04,2023-08,WH-04,Facility North-1 — Chandigarh Gateway,North,Chandigarh,Regional DC,28744.8,27808.82,43072.24,4045.47,14681.05,11.1,2.5,1209,0.994,0,22322.98,85000,0.507,8.01,7745454.53,0.959,0.943,3.6,416,0.099,Overstock
REC-2023-09-WH-04,2023-09,WH-04,Facility North-1 — Chandigarh Gateway,North,Chandigarh,Regional DC,34488.58,34132.69,42716.35,4980.75,17741.52,11.1,2.54,1020,0.978,0,17503.7,85000,0.503,9.69,8319933.7,1.066,0.889,2.4,416,0.065,Overstock
REC-2023-10-WH-04,2023-10,WH-04,Facility North-1 — Chandigarh Gateway,North,Chandigarh,Regional DC,41115.67,40512.46,42113.14,5850.51,21337.41,11.3,2.48,1128,0.986,0,11999.96,85000,0.495,11.72,35978985.74,1.355,0.938,0.1,416,0.069,Overstock
REC-2023-11-WH-04,2023-11,WH-04,Facility North-1 — Chandigarh Gateway,North,Chandigarh,Regional DC,47610.29,44772.37,39275.22,7140.4,24914.91,11.2,2.6,1267,0.984,0,3649.71,85000,0.462,14.55,21208168.43,1.351,0.904,0.0,416,0.065,Overstock
REC-2023-12-WH-04,2023-12,WH-04,Facility North-1 — Chandigarh Gateway,North,Chandigarh,Regional DC,37415.14,38793.49,40653.57,6144.91,18117.75,9.6,2.95,1624,0.979,0,13318.46,85000,0.478,11.04,30908428.67,1.227,0.942,0.1,416,0.006,Overstock
REC-2024-01-WH-04,2024-01,WH-04,Facility North-1 — Chandigarh Gateway,North,Chandigarh,Regional DC,29149.88,30868.8,42372.49,3817.64,16060.59,12.6,2.34,782,0.953,0,20585.44,85000,0.498,8.26,23573822.68,0.951,0.928,0.6,416,0.19,Overstock
REC-2024-02-WH-04,2024-02,WH-04,Facility North-1 — Chandigarh Gateway,North,Chandigarh,Regional DC,29785.75,29656.59,42243.33,5141.39,17552.12,12.5,3.09,1132,0.997,0,16979.12,85000,0.497,8.46,13747777.96,0.892,0.894,0.4,416,0.079,Overstock
REC-2024-03-WH-04,2024-03,WH-04,Facility North-1 — Chandigarh Gateway,North,Chandigarh,Regional DC,28495.97,30015.68,43763.04,4122.35,13526.02,9.9,2.6,1073,0.991,0,24053.5,85000,0.515,7.81,11926250.65,1.089,0.967,0.9,416,0.095,Overstock
REC-2024-04-WH-04,2024-04,WH-04,Facility North-1 — Chandigarh Gateway,North,Chandigarh,Regional DC,39670.82,42396.53,46488.75,6245.7,20923.9,11.1,2.8,1405,0.958,0,16196.3,85000,0.547,10.24,29617009.73,1.146,0.923,0.1,416,0.172,Overstock
REC-2024-05-WH-04,2024-05,WH-04,Facility North-1 — Chandigarh Gateway,North,Chandigarh,Regional DC,42657.6,45389.88,49221.03,6999.39,21502.97,10.2,2.92,1572,0.969,0,17218.97,85000,0.579,10.4,35811047.64,1.174,0.928,1.3,416,0.147,Overstock
REC-2024-06-WH-04,2024-06,WH-04,Facility North-1 — Chandigarh Gateway,North,Chandigarh,Regional DC,33406.73,35117.22,50931.52,5146.67,19956.99,13.3,2.65,1095,0.983,0,23254.52,85000,0.599,7.87,8699559.21,1.027,0.951,1.9,416,0.105,Overstock
REC-2024-07-WH-04,2024-07,WH-04,Facility North-1 — Chandigarh Gateway,North,Chandigarh,Regional DC,29952.69,29713.66,50692.49,4499.86,15981.72,11.5,2.67,877,0.978,0,27960.98,85000,0.596,7.09,26584876.44,0.951,0.864,2.1,416,0.103,Overstock
REC-2024-08-WH-04,2024-08,WH-04,Facility North-1 — Chandigarh Gateway,North,Chandigarh,Regional DC,32499.67,32998.81,51191.63,3986.61,13519.85,8.8,2.13,914,0.955,0,31691.86,85000,0.602,7.62,13408873.12,0.929,0.934,0.4,416,0.112,Overstock
REC-2024-09-WH-04,2024-09,WH-04,Facility North-1 — Chandigarh Gateway,North,Chandigarh,Regional DC,36121.86,38060.77,53130.54,5098.01,20148.79,12.5,2.52,1290,0.968,0,25334.74,85000,0.625,8.16,30454054.93,1.077,0.919,0.4,416,0.112,Overstock
REC-2024-10-WH-04,2024-10,WH-04,Facility North-1 — Chandigarh Gateway,North,Chandigarh,Regional DC,42684.44,44111.9,54558.0,7171.22,22822.18,11.0,2.96,1417,0.959,0,20978.99,85000,0.642,9.39,33459958.72,1.317,0.894,0.5,416,0.252,Overstock
REC-2024-11-WH-04,2024-11,WH-04,Facility North-1 — Chandigarh Gateway,North,Chandigarh,Regional DC,49579.12,51410.12,56389.0,7965.35,25979.1,10.9,2.86,1391,0.957,0,18461.88,85000,0.663,10.55,35342822.54,1.39,0.963,0.4,416,0.102,Overstock
